"Object Number","Object Level","Object Identifier","Absolute Number","Object Text","Object Heading","Object Type","pod_tags"
"2.3.1.2.0-1",5,47,47,"Funktion ""Fenster vollständig senken/heben"" ist nicht aktiv.",,"requirement","PRECONDITION"
"2.3.1.3",4,41,41,,"Auslöser","heading","CHAPTER_TRIGGERS"
"2.3.1.3.0-1",5,48,48,"Fensterheberschalter in Position 2 oder 4.",,"requirement","TRIGGER"
"2.3.1.4",4,42,42,,"Durchführung","heading","CHAPTER_EXECUTION"
"2.3.1.4.0-1",5,51,51,"Das Fenster wird gesenkt, wenn Position = 2",,"requirement","EXECUTION"
"2.3.1.4.0-2",5,52,52,"Das Fenster wird gehoben, wenn Position = 4",,"requirement","EXECUTION"
"2.3.1.5",4,43,43,,"Ende","heading","CHAPTER_END"
"2.3.1.5.0-1",5,54,54,"Fensterheberschalter in Position 3",,"requirement","END"
"2.3.2",3,55,55,,"Funktion ""Fenster vollständig senken/heben""","heading","CHAPTER_VEHICLE_FUNCTION"
"2.3.2.0-1",4,71,71,"Der Schalter für ein Fenster wird vollständig (zwei Klicks) in eine Richtung gedrückt. Daraufhin wird das Fenster entsprechend der Richtung gesenkt / gehoben, bis es vollständig gesenkt bzw. gehoben ist.",,"requirement","DESCRIPTION"
"2.3.2.1",4,56,56,,"Voraussetzungen","heading","CHAPTER_PREREQUISITES"
"2.3.2.1.0-1",5,61,61,"Klemme 15 ein",,"requirement","PREREQUISITE"
"2.3.2.2",4,57,57,,"Vorbedingungen","heading","CHAPTER_PRECONDITIONS"
"2.3.2.2.0-1",5,62,62,"keine",,"information","NO_REQUIREMENTS"
"2.3.2.3",4,58,58,,"Auslöser","heading","CHAPTER_TRIGGERS"
"2.3.2.3.0-1",5,63,63,"Fensterheberschalter in Position 1 oder 5",,"requirement","TRIGGER"
"2.3.2.4",4,59,59,,"Durchführung","heading","CHAPTER_EXECUTION"
"2.3.2.4.0-1",5,64,64,"Das Fenster wird gesenkt, wenn Position = 1",,"requirement","EXECUTION"
"2.3.2.4.0-2",5,65,65,"Das Fenster wird gehoben, wenn Position = 5",,"requirement","EXECUTION"
"2.3.2.5",4,60,60,,"Ende","heading","CHAPTER_END"
"2.3.2.5.0-1",5,67,67,"Fenster erreicht niedrigste Position, wenn Fensterheberschalter in Position 1",,"requirement","END"
"2.3.2.5.0-2",5,68,68,"Fenster erreicht höchste Position, wenn Fensterheberschalter in Position 5",,"requirement","END"
"2.3.2.5.0-3",5,69,69,"Fensterheberschalter in Position 4 oder 5, wenn er vorher in Position 1 war",,"requirement","END"
"2.3.2.5.0-4",5,70,70,"Fensterheberschalter in Position 1 oder 2, wenn er vorher in Position 5 war",,"requirement","END"
3,1,3,3,,"Anforderungen an benachbarte Systeme","heading","CHAPTER_INVOLVED_SYSTEMS"
"3.1",2,14,14,,"Anforderungen an das System ""Zentralveriegelung""","heading","CHAPTER_INVOLVED_SYSTEM"
"3.1.1",3,38,38,,"Funktionsbeitrag ""Fenster automatisch schließen""","heading","CHAPTER_FUNCTION_CONTRIBUTION"
"3.1.1.0-1",4,73,73,"Wird das Fahrzeug verriegelt, werden automatisch die Fenster geschlossen.",,"requirement","FUNCTION_CONTRIBUTION"
4,1,4,4,,"Anforderungen an beteiligte Komponenten","heading","CHAPTER_INVOLVED_COMPONENTS"
"4.1",2,16,16,,"Anforderungen an die Komponente ""BC_F""","heading","CHAPTER_INVOLVED_COMPONENT"
"4.1.1",3,22,22,,"Funktionsbeitrag ""Fenstersteuerung""","heading","CHAPTER_FUNCTION_CONTRIBUTION"
"4.1.2",3,23,23,,"Hardwareanforderungen","heading","CHAPTER_HARDWARE_REQUIREMENTS"
"4.1.2.0-1",4,74,74,"keine",,"information","NO_REQUIREMENTS"
"4.1.3",3,25,25,,"Diagnoseanforderungen","heading","CHAPTER_DIAGNOSIS_REQUIREMENTS"
"4.1.3.0-1",4,75,75,"keine",,"information","NO_REQUIREMENTS"
"4.1.4",3,26,26,,"Fehlerspeicher","heading","CHAPTER_ERROR_STORAGE"
"4.1.4.0-1",4,76,76,"keine",,"information","NO_REQUIREMENTS"
"4.1.5",3,27,27,,"Kommunikation","heading","CHAPTER_COMMUNICATION"
"4.1.5.0-1",4,77,77,"Window_FL_Pos",,"requirement","CAN_SIGNAL"
"4.1.5.0-2",4,78,78,"Window_FR_Pos",,"requirement","CAN_SIGNAL"
"4.1.5.0-3",4,79,79,"Window_RL­_Pos",,"requirement","CAN_SIGNAL"
"4.1.5.0-4",4,80,80,"Window_RR_Pos",,"requirement","CAN_SIGNAL"
5,1,5,5,,"Anhang","heading","CHAPTER_APPENDIX"
"5.1",2,17,17,,"Abkürzungsverzeichnis","heading","CHAPTER_ABBREVIATIONS"
"5.1.0-1",3,82,82,"WL	Window Lift",,"information","ABBREVIATION"
"5.1.0-2",3,83,83,"BC_F	Body Controller Front",,"information","ABBREVIATION"
