"Object Number","Object Level","Object Identifier","Absolute Number","Object Text","Object Heading","Object Type","pod_tags"
"2.3.1.0-1",4,132,132,"Die Wischerblätter bewegen sich kontinuierlich langsam hin und her.",,"requirement","DESCRIPTION"
"2.3.1.1",4,39,39,,"Voraussetzungen","heading","CHAPTER_PREREQUISITES"
"2.3.1.1.0-1",5,80,80,"Klemme 15 ein",,"requirement","PREREQUISITE"
"2.3.1.2",4,40,40,,"Vorbedingungen","heading","CHAPTER_PRECONDITIONS"
"2.3.1.2.0-1",5,81,81,"keine",,"information","NO_REQUIREMENTS"
"2.3.1.3",4,41,41,,"Auslöser","heading","CHAPTER_TRIGGERS"
"2.3.1.3.0-1",5,82,82,"Position des Wischerhebels ist 1.",,"requirement","TRIGGER"
"2.3.1.4",4,42,42,,"Durchführung","heading","CHAPTER_EXECUTION"
"2.3.1.4.0-1",5,83,83,"Wischerblätter fahren hin und her.",,"requirement","EXECUTION"
"2.3.1.4.0-2",5,84,84,"Ein Wischzyklus hat die Länge t = 2.5s.",,"requirement","EXECUTION"
"2.3.1.4.0-3",5,85,85,"Ein begonnener Wischzyklus wird immer beendet.",,"requirement","EXECUTION"
"2.3.1.5",4,43,43,,"Ende","heading","CHAPTER_END"
"2.3.1.5.0-1",5,87,87,"Position des Wischerhebels ist nicht mehr 1.",,"requirement","END"
"2.3.2",3,47,47,,"Funktion ""Schnelles Wischen""","heading","CHAPTER_VEHICLE_FUNCTION"
"2.3.2.0-1",4,134,134,"Die Wischerblätter bewegen sich kontinuierlich schnell hin und her.",,"requirement","DESCRIPTION"
"2.3.2.1",4,51,51,,"Voraussetzungen","heading","CHAPTER_PREREQUISITES"
"2.3.2.1.0-1",5,71,71,"Klemme 15 ein",,"requirement","PREREQUISITE"
"2.3.2.2",4,52,52,,"Vorbedingungen","heading","CHAPTER_PRECONDITIONS"
"2.3.2.2.0-1",5,72,72,"keine",,"information","NO_REQUIREMENTS"
"2.3.2.3",4,53,53,,"Auslöser","heading","CHAPTER_TRIGGERS"
"2.3.2.3.0-1",5,73,73,"Position des Wischerhebels ist 2.",,"requirement","TRIGGER"
"2.3.2.4",4,54,54,,"Durchführung","heading","CHAPTER_EXECUTION"
"2.3.2.4.0-1",5,76,76,"Wischerblätter fahren hin und her.",,"requirement","EXECUTION"
"2.3.2.4.0-2",5,77,77,"Ein Wischzyklus hat die Länge t = 1.5s.",,"requirement","EXECUTION"
"2.3.2.4.0-3",5,78,78,"Ein begonnener Wischzyklus wird immer beendet.",,"requirement","EXECUTION"
"2.3.2.5",4,55,55,,"Ende","heading","CHAPTER_END"
"2.3.2.5.0-1",5,74,74,"Position des Wischerhebels ist nicht mehr 2.",,"requirement","END"
"2.3.3",3,48,48,,"Funktion ""Intervalwischen""","heading","CHAPTER_VEHICLE_FUNCTION"
"2.3.3.0-1",4,133,133,"Die Wischerblätter bewegen sich hin und her, wobei zwischen jedem Wischzyklus eine Pause eingelegt wird.",,"requirement","DESCRIPTION"
"2.3.3.1",4,56,56,,"Voraussetzungen","heading","CHAPTER_PREREQUISITES"
"2.3.3.1.0-1",5,88,88,"Klemme 15",,"requirement","PREREQUISITE"
"2.3.3.2",4,57,57,,"Vorbedingungen","heading","CHAPTER_PRECONDITIONS"
"2.3.3.2.0-1",5,89,89,"keine",,"information","NO_REQUIREMENTS"
"2.3.3.3",4,58,58,,"Auslöser","heading","CHAPTER_TRIGGERS"
"2.3.3.3.0-1",5,90,90,"Position des Wischerhebels ist 3.",,"requirement","TRIGGER"
"2.3.3.4",4,59,59,,"Durchführung","heading","CHAPTER_EXECUTION"
"2.3.3.4.0-1",5,92,92,"Wischerblätter fahren hin und her.",,"requirement","EXECUTION"
"2.3.3.4.0-2",5,93,93,"Ein Wischzyklus hat die Länge t = 2.5s.",,"requirement","EXECUTION"
"2.3.3.4.0-3",5,94,94,"Ein begonnener Wischzyklus wird immer beendet.",,"requirement","EXECUTION"
"2.3.3.4.0-4",5,95,95,"Nach jedem Wischzyklus wird eine Pause der Länge t_pause eingelegt.",,"requirement","EXECUTION"
"2.3.3.4.0-5",5,96,96,"Die Zeit t_pause kann über ein Drehrad am Wischerhebel zwischen 1s und 5s reguliert werden.",,"requirement","EXECUTION"
"2.3.3.5",4,60,60,,"Ende","heading","CHAPTER_END"
"2.3.3.5.0-1",5,98,98,"Position des Wischerhebels ist nicht mehr 3.",,"requirement","END"
"2.3.4",3,49,49,,"Funktion ""Automatisches Wischen""","heading","CHAPTER_VEHICLE_FUNCTION"
"2.3.4.0-1",4,135,135,"Die Wischerblätter bewegen sich hin und her, wenn die Scheibe nass ist.",,"requirement","DESCRIPTION"
"2.3.4.1",4,61,61,,"Voraussetzungen","heading","CHAPTER_PREREQUISITES"
"2.3.4.1.0-1",5,100,100,"Klemme 15 ein",,"requirement","PREREQUISITE"
"2.3.4.2",4,62,62,,"Vorbedingungen","heading","CHAPTER_PRECONDITIONS"
"2.3.4.2.0-1",5,101,101,"Regensensor ist verbaut.",,"requirement","PRECONDITION"
"2.3.4.3",4,63,63,,"Auslöser","heading","CHAPTER_TRIGGERS"
"2.3.4.3.0-1",5,102,102,"Position des Wischerhebels ist 4.",,"requirement","TRIGGER"
"2.3.4.3.0-2",5,106,106,"Regensensor meldet Wasser auf der Scheibe (>= 30%)",,"requirement","TRIGGER"
"2.3.4.4",4,64,64,,"Durchführung","heading","CHAPTER_EXECUTION"
"2.3.4.4.0-1",5,104,104,"Wischerblätter fahren hin und her.",,"requirement","EXECUTION"
"2.3.4.4.0-2",5,110,110,"Bei Regensensor < 70% wird langsam gewischt.",,"requirement","EXECUTION"
"2.3.4.4.0-3",5,111,111,"Bei Regensensor >= 70% wird schnell gewischt.",,"requirement","EXECUTION"
"2.3.4.4.0-4",5,112,112,"Ein begonnener Wischzyklus wird immer beendet.",,"requirement","EXECUTION"
"2.3.4.5",4,65,65,,"Ende","heading","CHAPTER_END"
"2.3.4.5.0-1",5,114,114,"Position des Wischerhebels ist nicht mehr 4.",,"requirement","END"
"2.3.4.5.0-2",5,115,115,"Regensensor meldet Wasser auf der Scheibe (< 30%)",,"requirement","END"
"2.3.5",3,50,50,,"Funktion ""Waschen""","heading","CHAPTER_VEHICLE_FUNCTION"
"2.3.5.0-1",4,136,136,"Scheibenwischwasser wird auf die Scheibe befördert. Die Scheibe wird durch anschließende Wischzyklen gereinigt.",,"requirement","DESCRIPTION"
"2.3.5.1",4,66,66,,"Voraussetzungen","heading","CHAPTER_PREREQUISITES"
"2.3.5.1.0-1",5,117,117,"Klemme 15 ein",,"requirement","PREREQUISITE"
"2.3.5.2",4,67,67,,"Vorbedingungen","heading","CHAPTER_PRECONDITIONS"
"2.3.5.2.0-1",5,119,119,"keine",,"information","NO_REQUIREMENTS"
"2.3.5.3",4,68,68,,"Auslöser","heading","CHAPTER_TRIGGERS"
"2.3.5.3.0-1",5,120,120,"Wischerhebel wird gezogen.",,"requirement","TRIGGER"
"2.3.5.4",4,69,69,,"Durchführung","heading","CHAPTER_EXECUTION"
"2.3.5.4.0-1",5,121,121,"Waschwasser wird auf die Scheibe gepumpt, solange der Wischerhebel gezogen wird.",,"requirement","EXECUTION"
"2.3.5.4.0-2",5,123,123,"Es werden kontinuierlich schnelle Waschzyklen durchgeführt.",,"requirement","EXECUTION"
"2.3.5.5",4,70,70,,"Ende","heading","CHAPTER_END"
"2.3.5.5.0-1",5,125,125,"Wischerhebel wird nicht mehr gezogen.",,"requirement","END"
"2.3.5.5.0-2",5,126,126,"Nach Loslassen des Wischerhebels wurden drei Wischzyklen durchgeführt.",,"requirement","END"
3,1,3,3,,"Anforderungen an benachbarte Systeme","heading","CHAPTER_INVOLVED_SYSTEMS"
"3.1",2,14,14,,"Anforderungen an das System ""IC""","heading","CHAPTER_INVOLVED_SYSTEM"
"3.1.1",3,38,38,,"Funktionsbeitrag ""Anzeige Fehlerzustände""","heading","CHAPTER_FUNCTION_CONTRIBUTION"
"3.1.1.0-1",4,128,128,"Ist kein Waschwasser mehr im Waschwasserbehälter, leuchtet eine Kontrollleuchte im Instrument Cluster.",,"requirement","FUNCTION_CONTRIBUTION"
4,1,4,4,,"Anforderungen an beteiligte Komponenten","heading","CHAPTER_INVOLVED_COMPONENTS"
"4.1",2,16,16,,"Anforderungen an die Komponente ""Body Controller Front""","heading","CHAPTER_INVOLVED_COMPONENT"
"4.1.1",3,22,22,,"Funktionsbeitrag ""Wischeransteuerung""","heading","CHAPTER_FUNCTION_CONTRIBUTION"
"4.1.2",3,23,23,,"Hardwareanforderungen","heading","CHAPTER_HARDWARE_REQUIREMENTS"
"4.1.3",3,25,25,,"Diagnoseanforderungen","heading","CHAPTER_DIAGNOSIS_REQUIREMENTS"
"4.1.4",3,26,26,,"Fehlerspeicher","heading","CHAPTER_ERROR_STORAGE"
"4.1.5",3,27,27,,"Kommunikation","heading","CHAPTER_COMMUNICATION"
"4.1.5.0-1",4,131,131,"Wpr_Position",,"requirement","CAN_SIGNAL"
5,1,5,5,,"Anhang","heading","CHAPTER_APPENDIX"
"5.1",2,17,17,,"Abkürzungsverzeichnis","heading","CHAPTER_ABBREVIATIONS"
"5.1.0-1",3,127,127,"WWC	Wasch- und Wischercontroller",,"information","ABBREVIATION"
"5.1.0-2",3,129,129,"IC	Instrument Cluster",,"information","ABBREVIATION"
